system,scenario,n,f1,em,recall,stale_answer_rate,abstention_rate,update_tokens,update_wall_ms,communities_recomputed,entities,relations,communities
evolving,base-on-base,6,0.4334,0.0,0.8333,0.0,0.0,14995,31.73,16,19,37,9
evolving,base-on-updated,6,0.4334,0.0,0.8333,0.0,0.0,12281,23.98,14,27,53,11
evolving,new-on-updated,5,0.6282,0.0,1.0,0.0,0.0,12281,23.98,14,27,53,11
evolving,deletion,6,0.1667,0.1667,1.0,0.0,0.1667,2705,3.55,5,18,37,7
evolving,deletion-survivors,3,0.3618,0.0,1.0,0.0,0.0,2705,3.55,5,18,37,7
full-reindex,base-on-base,6,0.4334,0.0,0.8333,0.0,0.0,36838,70.95,28,19,37,9
full-reindex,base-on-updated,6,0.4334,0.0,0.8333,0.0,0.0,52193,107.82,41,27,53,11
full-reindex,new-on-updated,5,0.6282,0.0,1.0,0.0,0.0,52193,107.82,41,27,53,11
full-reindex,deletion,6,0.1667,0.1667,1.0,0.0,0.1667,22866,46.03,15,18,37,7
full-reindex,deletion-survivors,3,0.3618,0.0,1.0,0.0,0.0,22866,46.03,15,18,37,7
append-only,base-on-base,6,0.4334,0.0,0.8333,0.0,0.0,14995,24.27,16,19,37,9
append-only,base-on-updated,6,0.4334,0.0,0.8333,0.0,0.0,12787,19.88,15,27,60,11
append-only,new-on-updated,5,0.6282,0.0,1.0,0.0,0.0,12787,19.88,15,27,60,11
append-only,deletion,6,0.0,0.0,1.0,1.0,0.0,0,0.01,0,27,60,11
append-only,deletion-survivors,3,0.3618,0.0,1.0,0.0,0.0,0,0.01,0,27,60,11
flat-vector,base-on-base,6,0.2382,0.0,0.6667,0.0,0.1667,879,2.7,0,0,0,0
flat-vector,base-on-updated,6,0.2382,0.0,0.6667,0.0,0.1667,599,1.96,0,0,0,0
flat-vector,new-on-updated,5,0.2726,0.0,1.0,0.0,0.0,599,1.96,0,0,0,0
flat-vector,deletion,6,0.5,0.5,1.0,0.0,0.5,0,0.01,0,0,0,0
flat-vector,deletion-survivors,3,0.1014,0.0,0.3333,0.0,0.3333,0,0.01,0,0,0,0
